month,day,stone_name,color,meaning,source_note
1,1,琅玕（ろうかん）,青碧色,繁栄・長寿・安定,differencee-jewel.com
1,2,ランドスケープアゲート,マンガンや鉄により幻想的な模様を創り出す,愛・発展・安全・未来,differencee-jewel.com
1,3,トパゾライトガーネット,黄色～山吹色,確実な吉報・人生に実りをもたらす・勝利・優雅・名声,differencee-jewel.com
1,4,クリソコーラ原石,不透明な水色・青～青緑,幸運・仕事運・人間関係・人生の成功・心身の調和,differencee-jewel.com
1,5,ジルコン,青・赤・無色・緑・紫・黄色・ピンク　など,生命力・行動力・成功・名誉・夢想・安らぎ・平和・苦しみからの解放・無限・永遠,differencee-jewel.com
1,6,スターガーネット,赤,真実・情熱・友愛・繁栄・実り,differencee-jewel.com
1,7,アンモライト,光沢のある虹色,才能、想像力、幸運,differencee-jewel.com
1,8,グリーントルマリン,深緑～薄緑,疲労回復・強い意志・根源的な愛・行動力・良好な人間関係・ネガティブエネルギーの除去,differencee-jewel.com
1,9,グロッシュラーガーネット,緑・オレンジ・無色・ピンク　など,決断力・知恵・勝利・導き,differencee-jewel.com
1,10,金,黄金色,豊穣・美徳・尊敬,differencee-jewel.com
1,11,ヘマタイト原石,黒,生命力・勇気・チャレンジ・勝利,differencee-jewel.com
1,12,ソーダライト,青,目標達成・夢を叶える・決断力・行動力・意思力,differencee-jewel.com
1,13,ロードナイト,ミルキーピンク・クリアな赤,友愛・博愛・愛情・秘めた情熱・回復・寛大,differencee-jewel.com
1,14,ライスパール,光沢のある白・黄・黒　など,無垢・長寿・富・純潔・円満,differencee-jewel.com
1,15,インド・スタールビー,赤に6条の星,情熱・希望・勝利・愛情・魅力,differencee-jewel.com
1,16,ブルームーンストーン,半透明の乳白色,神秘の力・家族愛・恋の予感・生命力・希望・幸運,differencee-jewel.com
1,17,不透明琥珀,白濁した黄色・黄褐色,無垢・長寿・富・純潔・円満,differencee-jewel.com
1,18,ローゼライト,ピンク色,決断力・知恵・勝利・導き,differencee-jewel.com
1,19,ビックスバイト,赤,誠実・直感力・洞察力・気品,differencee-jewel.com
1,20,スノーフレークオブシディアン,黒に白・グレーの模様,集中力・不思議・潜在能力の開花,differencee-jewel.com
1,21,ピーコック・カラー・オパール,半透明の白・または黒の地に虹の色彩,純真無垢・歓喜・希望・幸運・忍耐,differencee-jewel.com
1,22,スターベリル,緑・水色・赤など,若さ・幸福・耐える愛・美,differencee-jewel.com
1,23,アレキタイプガーネット,,昼と夜の愛の変貌,differencee-jewel.com
1,24,ミルキークォーツ,半透明の白,上品・調和・母性愛・寛大さ,differencee-jewel.com
1,25,サードオニキス,赤褐色に白の縞模様,幸せな結婚・夫婦和合・情熱,differencee-jewel.com
1,26,パイロープガーネット,赤,勝利・真実・燃える愛,differencee-jewel.com
1,27,アルマンディンガーネット原石（母岩付）,赤,真実・友愛・勝利,differencee-jewel.com
1,28,ピンクトパーズ,ピンク,誠実・友情・潔白・希望,differencee-jewel.com
1,29,クリスタルクォーツ,無色透明,純粋無垢・冷静沈着・完全・万物との調和・繁栄,differencee-jewel.com
1,31,アレキサンドライトキャッツアイ,青/赤　一条の光,秘めた想い・高貴・情熱・安らぎ・誕生・出発・選択・変身,differencee-jewel.com
1,30,パーティーカラードフローライト,紫・緑・黄色・青・赤など,過去と未来,differencee-jewel.com
2,1,ウレキサイト,不透明の白・灰色,見通す力,differencee-jewel.com
2,2,ドロップパール,光沢のある乳白色,最愛の人,differencee-jewel.com
2,3,ガーネット結晶,赤・ピンク・オレンジ・緑　など,闘争、達成,differencee-jewel.com
2,4,バイカラーアメシスト,紫/黄・紫/白　など,光と影・静と動・調和・安定・配慮,differencee-jewel.com
2,5,梅花石,黒っぽい石灰岩に白の模様,困難に打ち勝つ,differencee-jewel.com
2,6,スター・グレー・サファイヤ,灰色に4－6条の星,暁の吉報,differencee-jewel.com
2,7,カンゴーム,黒,魔除け・邪気祓い・落ち着き,differencee-jewel.com
2,8,ルチルレイテッド・クォーツ,水晶に針のようなインクルージョン,強運・洞察力の向上・家族円満・金運,differencee-jewel.com
2,9,レッド・ジャスパー,赤褐色・朱色に網目状の模様,情熱・自己制御・肉体と精神の調和,differencee-jewel.com
2,10,タイガー・アイ・クォーツ（赤）,赤い虎目模様,運命の破壊と創造,differencee-jewel.com
2,11,ウォーターウォーン（さざれ石）,石により異なる,時の流れ,differencee-jewel.com
2,12,イエロー・スピネル,黄色,恋の年ごろ・品格・才能・魅力・実行力,differencee-jewel.com
2,13,バイカラーフローライト,青・紫・白・黄色など二色が混じる,二面性の魅力・調和・集中力・創造性・免疫力回復,differencee-jewel.com
2,14,ピンク・オパール,パステルピンク,潔白・愛・希望・友情,differencee-jewel.com
2,15,ピンクジルコン,ピンク,苦しみからの救い,differencee-jewel.com
2,16,オレンジトルマリン,オレンジ,人生の展開,differencee-jewel.com
2,17,タイガー・アイアン,茶系の虎目模様,勇猛、強い信念,differencee-jewel.com
2,18,オレンジ・トパーズ,オレンジ,希望・誠実・成功・友情,differencee-jewel.com
2,19,ウォーター・ドロップ・クォーツ,白・紫・褐色　など,生命の源,differencee-jewel.com
2,20,サードオニキス,赤褐色に白の縞模様,情緒の絆・幸せな結婚・健康・夫婦和合・家庭運,differencee-jewel.com
2,21,ラリマー,水色に白の模様,安らぎ・愛・平和,differencee-jewel.com
2,22,クォーツキャッツアイ,石により異なる,未来を予見する能力,differencee-jewel.com
2,23,ルビー,赤,情熱的な愛・仁愛・威厳・独立,differencee-jewel.com
2,24,ホワイト・パール,白,無垢・長寿・富・純潔・円満,differencee-jewel.com
2,25,ファントム・アメシスト,紫,幻影・神秘的・霊的,differencee-jewel.com
2,26,フローライト,紫・緑・黄色・青・赤　など,集中力・記憶力・思考力・自由・芸術,differencee-jewel.com
2,27,アメトリン,紫と黄,光と影・静と動・調和・安定・配慮・優しさ,differencee-jewel.com
2,28,コーラル（虫食い珊瑚）,赤・ピンク・白,耐える心,differencee-jewel.com
2,29,ペリドット,緑,夫婦愛・平和・癒し・運命の絆・幸福,differencee-jewel.com
3,1,フローライト原石,紫・緑・黄色・青・赤　など,夫婦愛・平和・癒し集中力・記憶力・思考力・自由・芸術・運命の絆・幸福,differencee-jewel.com
3,2,シェル・オパール,虹のような光沢,和合・合体,differencee-jewel.com
3,3,モルガナイト,ピンク,清純・愛情・優美さ・女性らしさ,differencee-jewel.com
3,4,シルバー,銀色,純粋・曇りのない良心・智恵,differencee-jewel.com
3,5,ブルーサファイア,青,慈愛・誠実・真理・貞操・友情,differencee-jewel.com
3,6,虫入り琥珀,明るい茶色・琥珀色,抱擁・長寿・繁栄,differencee-jewel.com
3,7,アクロアイト,無色・わずかな有色,透明,differencee-jewel.com
3,8,アメシスト原石,紫,守護,differencee-jewel.com
3,9,シルバーパール,銀色の真珠光沢,崇敬,differencee-jewel.com
3,10,スギライト,紫,浄化・献身・強い霊性・ヒーリング,differencee-jewel.com
3,11,イネサイト,ピンクや紫,情熱,differencee-jewel.com
3,12,アクアマリン原石,水色,自由・幸福をもたらす・健康・幸福,differencee-jewel.com
3,13,イエローダイヤモンド,黄色,自信・富,differencee-jewel.com
3,14,カラーレススピネル,無色聡明,純真,differencee-jewel.com
3,15,オレンジムーンストーン,,愛の予感,differencee-jewel.com
3,16,ローズクォーツ,淡いピンク色,真実の愛・真実の美,differencee-jewel.com
3,17,エメラルド,緑,幸運・人間関係の改善・愛・幸せな結婚・魔除け,differencee-jewel.com
3,18,ジェイド,,健康・知恵・安らぎ・繁栄・長寿　など,differencee-jewel.com
3,19,バイカラークォーツ,紫/黄　褐色/白　など,春の訪れ,differencee-jewel.com
3,20,ドラゴンパール,真珠光沢,生命の尊さ・無邪気・想像力・発想の転換,differencee-jewel.com
3,21,カーネリアン,半透明のオレンジ〜赤,喜び・友情・勇気・連帯・頭脳明晰・安泰,differencee-jewel.com
3,22,ラブラドライト,青や灰色・虹色のラブラドレッセンス,思慕・記憶・調和,differencee-jewel.com
3,23,ピクチャージャスパー,不透明な黄土色・茶色の模様,全体成長運・関係改善・プラスの意識・健康の強化・思考と行動の強化,differencee-jewel.com
3,24,ブラッドストーン,暗緑色に赤いインクルージョン,勇気・救いの力・聡明・献身,differencee-jewel.com
3,25,ピンクジルコン,ピンク,苦しみからの救い,differencee-jewel.com
3,26,パイライト,黄金色、銀色、真鍮色,金運招来・行動力・勇気・勝負事・危険回避,differencee-jewel.com
3,27,レッドジャスパー,不透明な赤褐色・朱色,情熱・自己制御・肉体と精神の調和,differencee-jewel.com
3,28,水晶,透明,純粋無垢・冷静沈着・完全・万物との調和・繁栄,differencee-jewel.com
3,29,アイオライト,青,道を示す・人生の道標・貞操・誠実・自己同一性,differencee-jewel.com
3,31,イエローオーソクレース,透明または半透明の薄い黄色,愛のパイロット、成功の鍵,differencee-jewel.com
3,30,エンジェル・スキン・コーラル,淡いピンク色,変わらぬ思い,differencee-jewel.com
4,1,レピドライト,赤紫色・ピンク色・紫色・帯灰紫色,感情の調整・変革・安眠・癒し,differencee-jewel.com
4,2,トルコ石,水色,成功・繁栄・健康・幸福・旅の安全,differencee-jewel.com
4,3,ルチルクォーツ,クオーツに細い針状結晶,強運・洞察力の向上・家族円満・金運,differencee-jewel.com
4,4,クリソコラ（クリソコーラ）,青・青緑・緑,幸運・仕事運・人間関係・人生の成功・心身の調和,differencee-jewel.com
4,5,カラーレス・サファイア,無色,聖なる力・輝く知性,differencee-jewel.com
4,6,ブルーダイヤモンド,青,絆を深める・幸福を願う・永遠の幸せ,differencee-jewel.com
4,7,エッグ・パール,真珠光沢,誕生・多産,differencee-jewel.com
4,8,パパラチアサファイア,ピンクがかったオレンジ色,運命的な恋・信頼関係,differencee-jewel.com
4,9,桜石,薄紅色,精神美・潔さ,differencee-jewel.com
4,10,ホワイトジルコン,薄紅透明色,すべてを賭ける恋・正確な理解力・的確な行動・切れ者,differencee-jewel.com
4,11,オニキス(黒＆白),黒と白の縞模様,成功・厄除け・秘密・夫婦の幸福,differencee-jewel.com
4,12,ピンクフローライト,ピンク,ストレスを流す・集中力を高める,differencee-jewel.com
4,13,バイオレットパール,真珠光沢の紫,自尊心、気高さ,differencee-jewel.com
4,14,カラーレス・トパーズ（ホワイトトパーズ）,無色,知性、天才,differencee-jewel.com
4,15,真円真珠,白・黒・ゴールド　など,健康・長寿・富・純潔,differencee-jewel.com
4,16,ヒデナイト,クリアな緑・黄緑・青緑,癒やし・知性,differencee-jewel.com
4,17,グリーンスピネル,緑・青緑・オリーブ,希望・信仰・愛情・幸福,differencee-jewel.com
4,18,ラピスラズリ,青,聖業・危機を乗り切る・健康・愛和・成功,differencee-jewel.com
4,19,バイオレット・ジルコン,紫,世俗性と精神性,differencee-jewel.com
4,20,ジェダイト(翡翠),,繁栄・長寿・安定,differencee-jewel.com
4,21,アンダリュサイト（アンダルサイト）,透明度のある茶色、緑褐色,希望・成長・真実を見抜く・愛の予感,differencee-jewel.com
4,22,カメオ(サードニクス),赤と白の縞模様,愛のしるし・恋の告白,differencee-jewel.com
4,23,砂漠のバラ(デザートローズ),無色・白・黄・茶色,愛と知性,differencee-jewel.com
4,24,クンツァイト,ピンク,浄化・癒し・慈愛・愛情・共感・許し,differencee-jewel.com
4,25,ツァボライトガーネット,緑,生命力・調和・落ち着き・忍耐力,differencee-jewel.com
4,26,アメシスト,紫,高貴・誠実・心の平和・真実の愛,differencee-jewel.com
4,27,カーネリアン,赤,喜び・友情・勇気・連帯・頭脳明晰・安泰,differencee-jewel.com
4,28,ネフライト,白・緑・濃緑・黄緑・淡黄・褐・黒,健康・知恵・繁栄・安らぎ,differencee-jewel.com
4,29,アベンチュリンクォーツ,赤褐色・緑・白・桃・青・黄　ほか,冷静沈着・心の安心・家庭円満,differencee-jewel.com
4,30,シリマナイトキャッツアイ,白・緑・褐色・黄・黒,警告,differencee-jewel.com
5,1,アマゾナイト,青色・青緑色・緑色,強い心・夢・希望・芸術・才能,differencee-jewel.com
5,2,イエロー・ベリル原石,黄色,希望・輝く日,differencee-jewel.com
5,3,グリーン・ジルコン,緑,平和の願い・苦しみから解放,differencee-jewel.com
5,4,ペリドット原石,緑,夫婦愛・平和・癒し・運命の絆・幸福,differencee-jewel.com
5,5,レッドコーラル（赤珊瑚）,赤,魔除け・安産・金運アップ・ポジティブ思考・子宝,differencee-jewel.com
5,6,アイドクレース(ベスビアナイト),緑や褐色系,破邪・慈しみ・感謝・謙虚,differencee-jewel.com
