month,day,stone_name,color,meaning,source_note
1,1,ホワイトサファイア,,智恵・自信・純粋,8740.jp
1,1,パライバトルマリン,,勝利・真実・希望・前進・夢,8740.jp
1,1,ARRANGEMENTこのお誕生日石を使った世界でたった一つのジュエリーのオーダーを承ります,,,8740.jp
1,2,ルビー,,美・情熱・純愛・勇気・生命力・威厳,8740.jp
1,2,パープルサファイア,,冷静・安定・余裕・慈悲・賢明,8740.jp
1,2,ARRANGEMENTこのお誕生日石を使った世界でたった一つのジュエリーのオーダーを承ります,,,8740.jp
1,3,ピンクダイヤモンド,,完全な愛・優美・可憐・最終決定,8740.jp
1,3,バイオレットスターサファイア,,叡智・覚醒・運命・自信,8740.jp
1,3,ARRANGEMENTこのお誕生日石を使った世界でたった一つのジュエリーのオーダーを承ります,,,8740.jp
1,4,オレンジサファイア（ゴールデンサファイア）,,陽の光・前向き・ひらめき・新たな出会い,8740.jp
1,4,ブラックダイヤモンド,,征服・自信・革新・超越,8740.jp
1,4,ARRANGEMENTこのお誕生日石を使った世界でたった一つのジュエリーのオーダーを承ります,,,8740.jp
1,5,フローライト（レッド）,,平和・復活・洞察力,8740.jp
1,5,ブラウンダイヤモンド,,カリスマ性・威厳・たくましさ,8740.jp
1,5,ARRANGEMENTこのお誕生日石を使った世界でたった一つのジュエリーのオーダーを承ります,,,8740.jp
1,6,グリーンダイヤモンド,,再生・回復・恵み・健康,8740.jp
1,6,アコヤパール,,長寿・純潔・純粋無垢・円満,8740.jp
1,6,ARRANGEMENTこのお誕生日石を使った世界でたった一つのジュエリーのオーダーを承ります,,,8740.jp
1,7,ブルーダイヤモンド,,永遠の幸せ・知性・絆を深める,8740.jp
1,7,スターサファイア,,誠実・叡智・希望,8740.jp
1,7,ARRANGEMENTこのお誕生日石を使った世界でたった一つのジュエリーのオーダーを承ります,,,8740.jp
1,8,アメシスト,,高貴、誠実、心の平和、愛情,8740.jp
1,8,スタールビー,,情熱・勝利・純愛・勇気,8740.jp
1,8,ARRANGEMENTこのお誕生日石を使った世界でたった一つのジュエリーのオーダーを承ります,,,8740.jp
1,9,ブラックダイヤモンド,,征服・自信・革新・超越,8740.jp
1,9,アレキサンドライト,,高貴・情熱・秘めた想い,8740.jp
1,9,ARRANGEMENTこのお誕生日石を使った世界でたった一つのジュエリーのオーダーを承ります,,,8740.jp
1,10,ロンドンブルートパーズ,,知性・希望・友情・誠実,8740.jp
1,10,カラーチェンジサファイア,,二面性・知性・カリスマ,8740.jp
1,10,ARRANGEMENTこのお誕生日石を使った世界でたった一つのジュエリーのオーダーを承ります,,,8740.jp
1,11,アコヤパール,,長寿・純潔・純粋無垢・円満,8740.jp
1,11,バイカラーサファイア,,真実の愛・誠実・徳望,8740.jp
1,11,ARRANGEMENTこのお誕生日石を使った世界でたった一つのジュエリーのオーダーを承ります,,,8740.jp
1,12,オパール,,希望・幸運・忍耐,8740.jp
1,12,ホワイトサファイア,,智恵・自信・純粋,8740.jp
1,12,ARRANGEMENTこのお誕生日石を使った世界でたった一つのジュエリーのオーダーを承ります,,,8740.jp
1,13,スターサファイア,,誠実・叡智・希望,8740.jp
1,13,ルビー,,美・情熱・純愛・勇気・生命力・威厳,8740.jp
1,13,ARRANGEMENTこのお誕生日石を使った世界でたった一つのジュエリーのオーダーを承ります,,,8740.jp
1,14,クリソベリルキャッツアイ,,驚嘆,8740.jp
1,14,ピンクダイヤモンド,,完全な愛・優美・可憐・最終決定,8740.jp
1,14,ARRANGEMENTこのお誕生日石を使った世界でたった一つのジュエリーのオーダーを承ります,,,8740.jp
1,15,アレキサンドライト,,高貴・情熱・秘めた想い,8740.jp
1,15,ピンクサファイア,,恋愛成就・成功・誠実・明晰・慈愛,8740.jp
1,15,ARRANGEMENTこのお誕生日石を使った世界でたった一つのジュエリーのオーダーを承ります,,,8740.jp
1,16,バイカラートルマリン,,平穏・調和・自信,8740.jp
1,16,パパラチアサファイア,,信頼関係・パートナーシップ・誠実・慈悲・知恵,8740.jp
1,16,ARRANGEMENTこのお誕生日石を使った世界でたった一つのジュエリーのオーダーを承ります,,,8740.jp
1,17,血赤珊瑚,,魔除け・長寿・安産,8740.jp
1,17,オレンジサファイア（ゴールデンサファイア）,,陽の光・前向き・ひらめき・新たな出会い,8740.jp
1,17,ARRANGEMENTこのお誕生日石を使った世界でたった一つのジュエリーのオーダーを承ります,,,8740.jp
1,18,ムーンストーン,,健康・幸運・愛の予感,8740.jp
1,18,オレンジダイヤモンド,,調和・安らぎ,8740.jp
1,18,ARRANGEMENTこのお誕生日石を使った世界でたった一つのジュエリーのオーダーを承ります,,,8740.jp
1,19,ホワイトトパーズ,,知恵・信頼・機知・潔白・未来への希望,8740.jp
1,19,イエローダイヤモンド,,富・権力・金運・自信・完全,8740.jp
1,19,ARRANGEMENTこのお誕生日石を使った世界でたった一つのジュエリーのオーダーを承ります,,,8740.jp
1,20,レッドスピネル,,努力・発展・自信,8740.jp
1,20,イエローサファイア,,知性・真実・目標達成・行動力,8740.jp
1,20,ARRANGEMENTこのお誕生日石を使った世界でたった一つのジュエリーのオーダーを承ります,,,8740.jp
1,21,シーブルーカルセドニー,,共有・博愛・調和,8740.jp
1,21,グリーンダイヤモンド,,再生・回復・恵み・健康,8740.jp
1,21,ARRANGEMENTこのお誕生日石を使った世界でたった一つのジュエリーのオーダーを承ります,,,8740.jp
1,22,タンザナイト,,高貴・知性・誇り・冷静・希望・神秘,8740.jp
1,22,エメラルド,,幸運・幸福・愛・健康・希望,8740.jp
1,22,ARRANGEMENTこのお誕生日石を使った世界でたった一つのジュエリーのオーダーを承ります,,,8740.jp
1,23,イエローサファイア,,知性・真実・目標達成・行動力,8740.jp
1,23,グリーンサファイア,,知恵・平穏・慈愛・誠実・高潔・徳望,8740.jp
1,23,ARRANGEMENTこのお誕生日石を使った世界でたった一つのジュエリーのオーダーを承ります,,,8740.jp
1,24,エメラルド,,幸運・幸福・愛・健康・希望,8740.jp
1,24,ブルーダイヤモンド,,永遠の幸せ・知性・絆を深める,8740.jp
1,24,ARRANGEMENTこのお誕生日石を使った世界でたった一つのジュエリーのオーダーを承ります,,,8740.jp
1,25,サファイア,,誠実・徳望・成功・慈愛,8740.jp
1,25,アコヤパール,,長寿・純潔・純粋無垢・円満,8740.jp
1,25,ARRANGEMENTこのお誕生日石を使った世界でたった一つのジュエリーのオーダーを承ります,,,8740.jp
1,26,パープルサファイア,,冷静・安定・余裕・慈悲・賢明,8740.jp
1,26,タンザナイト,,高貴・知性・誇り・冷静・希望・神秘,8740.jp
1,26,ARRANGEMENTこのお誕生日石を使った世界でたった一つのジュエリーのオーダーを承ります,,,8740.jp
1,27,オニキス,,魔除け・成功・幸福,8740.jp
1,27,パライバトルマリン,,勝利・真実・希望・前進・夢,8740.jp
1,27,ARRANGEMENTこのお誕生日石を使った世界でたった一つのジュエリーのオーダーを承ります,,,8740.jp
1,28,アンバー,,長寿・繁栄・包容,8740.jp
1,28,パープルサファイア,,冷静・安定・余裕・慈悲・賢明,8740.jp
1,28,ARRANGEMENTこのお誕生日石を使った世界でたった一つのジュエリーのオーダーを承ります,,,8740.jp
1,29,白蝶真珠,,健康・長寿・無垢,8740.jp
1,29,バイオレットスターサファイア,,叡智・覚醒・運命・自信,8740.jp
1,29,ARRANGEMENTこのお誕生日石を使った世界でたった一つのジュエリーのオーダーを承ります,,,8740.jp
1,30,ブラックオパール,,自信・幸運・カリスマ,8740.jp
1,30,ピンクダイヤモンド,,完全な愛・優美・可憐・最終決定,8740.jp
1,30,ARRANGEMENTこのお誕生日石を使った世界でたった一つのジュエリーのオーダーを承ります,,,8740.jp
1,31,ラリマー,,平和・愛・変化,8740.jp
1,31,ブラウンダイヤモンド,,カリスマ性・威厳・たくましさ,8740.jp
1,31,ARRANGEMENTこのお誕生日石を使った世界でたった一つのジュエリーのオーダーを承ります,,,8740.jp
2,1,カラーチェンジガーネット,,繁栄・友愛,8740.jp
2,1,アコヤパール,,長寿・純潔・純粋無垢・円満,8740.jp
