month,day,stone_name,color,meaning,source_note
1,1,ジェイド（翡翠）,,福徳、福財,monokotoba.com
1,2,ランドスケープアゲート,,愛、未来,monokotoba.com
1,3,トパゾライトガーネット,,確実な吉報,monokotoba.com
1,4,クリソコラ原石,,デリケートな行動,monokotoba.com
1,5,ジルコン,,安らぎ,monokotoba.com
1,6,スターガーネット,,聖なる実行力,monokotoba.com
1,7,アンモライト,,過去を手放す,monokotoba.com
1,8,グリーントルマリン,,内面のパワーアップ,monokotoba.com
1,9,グロッシュラーガーネット,,目標に至る幸運,monokotoba.com
1,10,ゴールド,,確実な助言と力,monokotoba.com
1,11,ヘマタイト,,自己認識,monokotoba.com
1,12,ゴールドストーン,,出会いのチャンス,monokotoba.com
1,13,ロードナイト,,秘めた情熱,monokotoba.com
1,14,ライスパール,,バランスのとれた愛情,monokotoba.com
1,15,インドスタールビー,,人生の水先案内,monokotoba.com
1,16,ブルームーンストーン,,大人の愛,monokotoba.com
1,17,不透明琥珀,,太古の夢,monokotoba.com
1,18,ローゼライト（ピンクガーネット）,,目標に至る幸運,monokotoba.com
1,19,ビクスバイト（レッドベリル）,,高次元の意識,monokotoba.com
1,20,スノーフレークオブシディアン,,愛の維持,monokotoba.com
1,21,クリスタルオパール,,求愛の予感,monokotoba.com
1,22,ミスティックトパーズ,,魅惑の輝き,monokotoba.com
1,23,カラーチェンジガーネット,,昼と夜の愛の変貌,monokotoba.com
1,24,ミルキークォーツ,,母性愛,monokotoba.com
1,25,サードオニキス,,幸せな結婚、夫婦和合,monokotoba.com
1,26,パイロープガーネット,,業火（燃える愛）,monokotoba.com
1,27,アルマンディンガーネット,,実行力の勝利,monokotoba.com
1,28,ピンクトパーズ,,知力、体力の回復,monokotoba.com
1,29,クリスタル,,万物との調和、氷の化石,monokotoba.com
1,30,ミーアシャム,,調和のとれた心,monokotoba.com
1,31,アレキサンドライト,,選択と変身,monokotoba.com
2,1,ウレキサイト,,見通す心,monokotoba.com
2,2,ドロップパール（真珠）,,最愛の人,monokotoba.com
2,3,ガーネット,,闘争、達成,monokotoba.com
2,4,セレスタイト,,目覚め,monokotoba.com
2,5,梅花石,,困難に打ち勝つ,monokotoba.com
2,6,スターグレーサファイア,,暁の吉報,monokotoba.com
2,7,モリオン,,規律と守護,monokotoba.com
2,8,ゴールドルチルクォーツ,,家庭の平和,monokotoba.com
2,9,レッドジャスパー,,体力、持久力,monokotoba.com
2,10,レッドタイガーアイ,,運命の破壊と創造,monokotoba.com
2,11,ウォーターウォーン,,時の流れ,monokotoba.com
2,12,イエロースピネル,,自己愛・恋の年頃,monokotoba.com
2,13,バイカラーフローライト,,二面性の魅力,monokotoba.com
2,14,ピンクオパール,,愛の出会い,monokotoba.com
2,15,ピンクジルコン,,苦しみからの救い,monokotoba.com
2,16,オレンジトルマリン,,人生の展開,monokotoba.com
2,17,タイガーアイアン,,勇猛、強い信念,monokotoba.com
2,18,インペリアルトパーズ,,知恵・論理,monokotoba.com
2,19,ウォタードロップクォーツ,,生命の源,monokotoba.com
2,20,オニキス（白＆茶）,,夫婦の貞操,monokotoba.com
2,21,ホーン,,恋の焦がれ,monokotoba.com
2,22,クォーツキャッツアイ,,未来を予見する能力,monokotoba.com
2,23,ルビー,,愛の疑惑,monokotoba.com
2,24,ホワイトパール,,謙譲、誠意,monokotoba.com
2,25,ファントムアメシスト,,幻影,monokotoba.com
2,26,イエローフローライト,,柔らかな微笑み,monokotoba.com
2,27,アメシスト/日本産,,奥ゆかしさ、清楚,monokotoba.com
2,28,コーラル（虫食い珊瑚）,,耐える心,monokotoba.com
2,29,日本式双晶（水晶）,,跳躍,monokotoba.com
3,1,フローライト,,秘密の恋,monokotoba.com
3,2,シェルオパール,,和合、合体,monokotoba.com
3,3,モルガナイト,,チャーミング、気立てのよさ,monokotoba.com
3,4,シルバー,,若さの主張,monokotoba.com
3,5,ブルーサファイア,,幸運、天命,monokotoba.com
3,6,虫入り琥珀,,静と動,monokotoba.com
3,7,アクロアイト,,透明,monokotoba.com
3,8,アメジスト,,守護,monokotoba.com
3,9,シルバーパール,,崇敬,monokotoba.com
3,10,真鍮,,大人の恋,monokotoba.com
3,11,イネサイト,,情熱,monokotoba.com
3,12,アクアマリン,,旅情、達成された望み,monokotoba.com
3,13,イエローダイヤモンド,,あらたなる希望,monokotoba.com
3,14,カラーレススピネル,,純真,monokotoba.com
3,15,オレンジムーンストーン,,積極的な愛,monokotoba.com
3,16,ローズクォーツ,,愛を伝える,monokotoba.com
3,17,エメラルド,,精神の安定,monokotoba.com
3,18,エマイユ,,多面性,monokotoba.com
3,19,バイカラークォーツ,,春の訪れ,monokotoba.com
3,20,ダトーライト,,生命の尊さ,monokotoba.com
3,21,アイアン,,強靱なパワー,monokotoba.com
3,22,ソグディアナイト,,潜在意識と顕在意識,monokotoba.com
3,23,ピクチャージャスパー,,夢想,monokotoba.com
3,24,アメシスト/イタリア産,,チャンス・機会をつかむ,monokotoba.com
3,25,ピンクジルコン,,苦しみからの救い,monokotoba.com
3,26,プラチナ原石,,多感な心,monokotoba.com
3,27,パープルジルコン,,おしゃべり,monokotoba.com
3,28,ピンクゴールド,,愛の訪れ、引きつける魅力,monokotoba.com
3,29,アクアオーラ,,涼やかさ,monokotoba.com
3,30,エンジェルスキンコーラル,,変わらぬ思い,monokotoba.com
3,31,ブルーフローライト,,成功,monokotoba.com
4,1,パイライト,,恋のたわむれ,monokotoba.com
4,2,セミバロックパール,,やさしさ,monokotoba.com
4,3,レッドルチルクォーツ,,肉体の成長,monokotoba.com
4,4,クリソコラ,,リラクゼーション,monokotoba.com
4,5,カラーレスサファイア,,聖なる力、輝く知性,monokotoba.com
4,6,ブルーダイヤモンド,,オールマイティー,monokotoba.com
4,7,エッグパール,,誕生、多産,monokotoba.com
4,8,パパラチアサファイア,,光の花,monokotoba.com
4,9,桜石,,精神美、潔さ,monokotoba.com
4,10,カラーレスジルコン,,すべてを賭ける恋,monokotoba.com
4,11,オニキス,,遠からぬ成功,monokotoba.com
4,12,ピンクフローライト,,気品、幻想的,monokotoba.com
4,13,バイオレットパール,,自尊心、気高さ,monokotoba.com
4,14,カラーレストパーズ,,知性、天才,monokotoba.com
4,15,スーパーセブン,,宇宙への謎、自然への愛,monokotoba.com
4,16,ヒデナイト,,すがすがしい明るさ、自然の恵み,monokotoba.com
4,17,グリーンスピネル,,希望、信仰、愛情、幸福,monokotoba.com
4,18,ドロマイト,,前進への勇気,monokotoba.com
4,19,カルサイト,,世俗性と精神性,monokotoba.com
